timestamp_hour,site_id,arrivals_per_hour,average_service_time_minutes,average_waiting_time_minutes,average_queue_length,maximum_queue_length,charger_utilization,active_charging_sessions,completed_sessions
2018-09-06 19:00:00,Caltech,2,172.22,289.08,14.96,16,1.0,30.0,3
2018-09-06 19:00:00,JPL,2,179.82,0.0,0.0,0,0.8398,26.87,4
2018-09-06 20:00:00,Caltech,1,282.28,233.78,13.52,14,1.0,30.0,3
2018-09-06 20:00:00,JPL,0,,,0.0,0,0.8183,26.19,1
2018-09-06 21:00:00,Caltech,3,214.9,202.42,13.08,14,1.0,30.0,2
2018-09-06 21:00:00,JPL,0,,,0.0,0,0.8023,25.68,1
2018-09-06 22:00:00,Caltech,4,82.23,158.75,14.03,15,1.0,30.0,2
2018-09-06 22:00:00,JPL,5,87.01,0.0,0.0,0,0.7363,23.56,6
2018-09-06 23:00:00,Caltech,3,147.6,108.39,14.38,16,1.0,30.0,2
2018-09-06 23:00:00,JPL,2,138.88,0.0,0.0,0,0.6926,22.16,8
2018-09-07 00:00:00,Caltech,9,121.28,114.91,14.93,17,1.0,30.0,8
2018-09-07 00:00:00,JPL,0,,,0.0,0,0.3762,12.04,11
2018-09-07 01:00:00,Caltech,7,216.22,102.61,13.35,18,1.0,30.0,10
2018-09-07 01:00:00,JPL,1,123.02,0.0,0.0,0,0.1537,4.92,6
2018-09-07 02:00:00,Caltech,5,69.03,93.66,13.28,16,1.0,30.0,9
2018-09-07 02:00:00,JPL,0,,,0.0,0,0.042,1.34,1
2018-09-07 03:00:00,Caltech,6,361.23,65.12,10.34,14,1.0,30.0,7
2018-09-07 03:00:00,JPL,0,,,0.0,0,0.027,0.86,1
2018-09-07 04:00:00,Caltech,3,277.62,25.54,4.21,9,1.0,30.0,10
2018-09-07 04:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-07 05:00:00,Caltech,1,50.72,0.0,0.37,2,0.9046,27.14,10
2018-09-07 05:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-07 06:00:00,Caltech,2,50.8,0.0,0.0,0,0.5731,17.19,11
2018-09-07 06:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-07 07:00:00,Caltech,0,,,0.0,0,0.3533,10.6,7
2018-09-07 07:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-07 08:00:00,Caltech,1,183.67,0.0,0.0,0,0.247,7.41,1
2018-09-07 08:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-07 09:00:00,Caltech,0,,,0.0,0,0.2333,7.0,0
2018-09-07 09:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-07 10:00:00,Caltech,0,,,0.0,0,0.2333,7.0,0
2018-09-07 10:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-07 11:00:00,Caltech,1,515.62,0.0,0.0,0,0.2356,7.07,2
2018-09-07 11:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-07 12:00:00,Caltech,0,,,0.0,0,0.2,6.0,0
2018-09-07 12:00:00,JPL,2,522.87,0.0,0.0,0,0.0063,0.2,0
2018-09-07 13:00:00,Caltech,2,77.14,0.0,0.0,0,0.2226,6.68,0
2018-09-07 13:00:00,JPL,7,447.73,0.0,0.0,0,0.1876,6.0,0
2018-09-07 14:00:00,Caltech,7,435.17,0.0,0.0,0,0.3148,9.44,4
2018-09-07 14:00:00,JPL,13,474.45,0.0,0.0,0,0.4852,15.53,0
2018-09-07 15:00:00,Caltech,26,411.04,11.53,0.34,4,0.6241,18.72,4
2018-09-07 15:00:00,JPL,10,339.3,0.0,0.0,0,0.8022,25.67,1
2018-09-07 16:00:00,Caltech,13,383.24,231.54,10.79,15,1.0,30.0,1
2018-09-07 16:00:00,JPL,1,520.7,0.0,0.0,0,0.9971,31.91,1
2018-09-07 17:00:00,Caltech,4,298.02,344.01,16.62,18,1.0,30.0,1
2018-09-07 17:00:00,JPL,1,395.05,0.0,0.0,0,0.9773,31.27,3
2018-09-07 18:00:00,Caltech,1,233.02,294.87,17.88,18,1.0,30.0,2
2018-09-07 18:00:00,JPL,2,191.88,0.0,0.0,0,0.8524,27.28,3
2018-09-07 19:00:00,Caltech,6,243.76,263.67,16.77,18,1.0,30.0,5
2018-09-07 19:00:00,JPL,1,284.38,0.0,0.0,0,0.8589,27.49,1
2018-09-07 20:00:00,Caltech,3,199.2,237.58,16.84,18,1.0,30.0,5
2018-09-07 20:00:00,JPL,3,146.78,0.0,0.0,0,0.8626,27.6,4
2018-09-07 21:00:00,Caltech,1,190.22,213.7,16.24,17,1.0,30.0,3
2018-09-07 21:00:00,JPL,3,153.14,0.0,0.0,0,0.8434,26.99,3
2018-09-07 22:00:00,Caltech,3,157.41,161.65,15.1,17,1.0,30.0,0
2018-09-07 22:00:00,JPL,2,112.78,0.0,0.0,0,0.7754,24.81,7
2018-09-07 23:00:00,Caltech,5,278.29,162.25,17.69,19,1.0,30.0,6
2018-09-07 23:00:00,JPL,0,,,0.0,0,0.6134,19.63,9
2018-09-08 00:00:00,Caltech,6,581.19,166.08,14.46,16,1.0,30.0,8
2018-09-08 00:00:00,JPL,1,52.22,0.0,0.0,0,0.26,8.32,11
2018-09-08 01:00:00,Caltech,6,93.4,139.83,14.42,17,1.0,30.0,5
2018-09-08 01:00:00,JPL,0,,,0.0,0,0.0533,1.7,2
2018-09-08 02:00:00,Caltech,7,182.92,83.25,14.93,18,1.0,30.0,4
2018-09-08 02:00:00,JPL,0,,,0.0,0,0.0197,0.63,1
2018-09-08 03:00:00,Caltech,2,1475.75,52.6,14.28,18,1.0,30.0,13
2018-09-08 03:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-08 04:00:00,Caltech,1,130.2,9.65,2.28,7,0.9422,28.27,17
2018-09-08 04:00:00,JPL,1,764.88,0.0,0.0,0,0.0195,0.62,0
2018-09-08 05:00:00,Caltech,2,423.0,0.0,0.0,0,0.6116,18.35,8
2018-09-08 05:00:00,JPL,0,,,0.0,0,0.0312,1.0,0
2018-09-08 06:00:00,Caltech,0,,,0.0,0,0.3716,11.15,6
2018-09-08 06:00:00,JPL,0,,,0.0,0,0.0312,1.0,0
2018-09-08 07:00:00,Caltech,0,,,0.0,0,0.2934,8.8,1
2018-09-08 07:00:00,JPL,0,,,0.0,0,0.0312,1.0,0
2018-09-08 08:00:00,Caltech,1,495.93,0.0,0.0,0,0.2524,7.57,2
2018-09-08 08:00:00,JPL,0,,,0.0,0,0.0312,1.0,0
2018-09-08 09:00:00,Caltech,0,,,0.0,0,0.2333,7.0,0
2018-09-08 09:00:00,JPL,0,,,0.0,0,0.0312,1.0,0
2018-09-08 10:00:00,Caltech,0,,,0.0,0,0.2034,6.1,1
2018-09-08 10:00:00,JPL,0,,,0.0,0,0.0312,1.0,0
2018-09-08 11:00:00,Caltech,0,,,0.0,0,0.2,6.0,0
2018-09-08 11:00:00,JPL,0,,,0.0,0,0.0312,1.0,0
2018-09-08 12:00:00,Caltech,0,,,0.0,0,0.2,6.0,0
2018-09-08 12:00:00,JPL,2,451.83,0.0,0.0,0,0.0406,1.3,0
2018-09-08 13:00:00,Caltech,1,249.12,0.0,0.0,0,0.2324,6.97,0
2018-09-08 13:00:00,JPL,0,,,0.0,0,0.0938,3.0,0
2018-09-08 14:00:00,Caltech,3,206.87,0.0,0.0,0,0.2582,7.75,0
2018-09-08 14:00:00,JPL,0,,,0.0,0,0.0938,3.0,0
2018-09-08 15:00:00,Caltech,2,189.98,0.0,0.0,0,0.3729,11.19,0
2018-09-08 15:00:00,JPL,0,,,0.0,0,0.0938,3.0,0
2018-09-08 16:00:00,Caltech,3,13.89,0.0,0.0,0,0.3669,11.01,6
2018-09-08 16:00:00,JPL,0,,,0.0,0,0.0938,3.0,0
2018-09-08 17:00:00,Caltech,7,620.49,0.0,0.0,0,0.3409,10.23,2
2018-09-08 17:00:00,JPL,0,,,0.0,0,0.0663,2.12,1
2018-09-08 18:00:00,Caltech,3,217.34,0.0,0.0,0,0.5041,15.12,2
2018-09-08 18:00:00,JPL,0,,,0.0,0,0.0625,2.0,0
2018-09-08 19:00:00,Caltech,6,229.69,0.0,0.0,0,0.5376,16.13,3
2018-09-08 19:00:00,JPL,2,198.84,0.0,0.0,0,0.0709,2.27,1
2018-09-08 20:00:00,Caltech,2,183.98,0.0,0.0,0,0.5165,15.49,6
2018-09-08 20:00:00,JPL,0,,,0.0,0,0.0938,3.0,0
2018-09-08 21:00:00,Caltech,2,641.56,0.0,0.0,0,0.5092,15.28,1
2018-09-08 21:00:00,JPL,0,,,0.0,0,0.0808,2.58,2
2018-09-08 22:00:00,Caltech,4,86.48,0.0,0.0,0,0.5268,15.8,3
2018-09-08 22:00:00,JPL,0,,,0.0,0,0.0312,1.0,0
2018-09-08 23:00:00,Caltech,2,181.82,0.0,0.0,0,0.4932,14.8,4
2018-09-08 23:00:00,JPL,0,,,0.0,0,0.0167,0.53,1
2018-09-09 00:00:00,Caltech,2,101.21,0.0,0.0,0,0.363,10.89,6
2018-09-09 00:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 01:00:00,Caltech,2,139.28,0.0,0.0,0,0.3737,11.21,1
2018-09-09 01:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 02:00:00,Caltech,2,89.1,0.0,0.0,0,0.3049,9.15,5
2018-09-09 02:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 03:00:00,Caltech,1,773.3,0.0,0.0,0,0.2693,8.08,0
2018-09-09 03:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 04:00:00,Caltech,2,748.71,0.0,0.0,0,0.274,8.22,4
2018-09-09 04:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 05:00:00,Caltech,2,315.43,0.0,0.0,0,0.2818,8.46,0
2018-09-09 05:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 06:00:00,Caltech,0,,,0.0,0,0.289,8.67,1
2018-09-09 06:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 07:00:00,Caltech,1,242.73,0.0,0.0,0,0.2685,8.05,0
2018-09-09 07:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 08:00:00,Caltech,0,,,0.0,0,0.3,9.0,0
2018-09-09 08:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 09:00:00,Caltech,0,,,0.0,0,0.3,9.0,0
2018-09-09 09:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 10:00:00,Caltech,0,,,0.0,0,0.3,9.0,0
2018-09-09 10:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 11:00:00,Caltech,0,,,0.0,0,0.2997,8.99,1
2018-09-09 11:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 12:00:00,Caltech,1,28.7,0.0,0.0,0,0.2826,8.48,1
2018-09-09 12:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 13:00:00,Caltech,1,87.28,0.0,0.0,0,0.2694,8.08,0
2018-09-09 13:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 14:00:00,Caltech,4,125.01,0.0,0.0,0,0.3372,10.12,1
2018-09-09 14:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 15:00:00,Caltech,3,206.11,0.0,0.0,0,0.3675,11.03,3
2018-09-09 15:00:00,JPL,0,,,0.0,0,0.0,0.0,0
2018-09-09 16:00:00,Caltech,3,92.17,0.0,0.0,0,0.4172,12.52,4
