timestamp,t,total_demand,ground_truth_caltech_arrivals,ground_truth_jpl_arrivals,caltech_predicted_arrivals,jpl_predicted_arrivals,caltech_synthetic_arrivals,jpl_synthetic_arrivals,caltech_dt_predicted_queue,jpl_dt_predicted_queue,caltech_dt_predicted_wait,jpl_dt_predicted_wait,caltech_dt_predicted_util,jpl_dt_predicted_util,routed_to_caltech,routed_to_jpl,sim_caltech_queue,sim_jpl_queue,sim_caltech_wait,sim_jpl_wait,sim_caltech_util,sim_jpl_util,connection_lost
2018-09-05 11:00:00,0,3,1.0,2.0,0.32914549112319946,0.0,0.32914549112319946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.006166666666666663,0.1195925925925926,False
2018-09-05 12:00:00,1,2,0.0,2.0,0.43000978231430054,2.9235470294952393,0.43000978231430054,2.9235470294952393,0.0,0.0,0.0,0.0,0.06666666666666667,0.3333333333333333,0,2,0.0,0.0,0.0,0.0,0.06666666666666667,0.17027777777777778,False
2018-09-05 13:00:00,2,9,2.0,7.0,1.40152907371521,2.9699509143829346,1.40152907371521,2.9699509143829346,0.0,0.0,0.0,0.0,0.13333333333333333,0.4666666666666667,3,6,0.0,0.0,0.0,0.0,0.15451851851851853,0.4832037037037037,False
2018-09-05 14:00:00,3,15,10.0,5.0,3.066236972808838,3.14762020111084,3.066236972808838,3.14762020111084,0.0,0.0,0.0,0.0,0.4666666666666667,0.810037037037037,9,6,0.0,0.0,0.0,0.0,0.5881851851851851,0.9077037037037037,False
2018-09-05 15:00:00,4,18,18.0,0.0,4.6228437423706055,3.162013530731201,4.6228437423706055,3.162013530731201,2.0,4.0,0.0,0.0,1.0,1.0,15,3,4.844166666666665,0.2591666666666669,0.0,0.0,0.9702592592592593,1.0,False
2018-09-05 16:00:00,5,14,13.0,1.0,6.79034423828125,2.4065701961517334,6.79034423828125,2.4065701961517334,19.0,5.760833333333333,0.0,52.049999999999955,1.0,1.0,13,1,20.37277777777778,2.998888888888888,0.0,52.049999999999955,1.0,1.0,False
2018-09-05 17:00:00,6,2,2.0,0.0,6.118136882781982,0.5073189735412598,6.118136882781982,0.5073189735412598,31.0,5.0,0.0,0.0,1.0,1.0,1,1,26.4975,3.3188888888888886,0.0,0.0,1.0,1.0,False
2018-09-05 18:00:00,7,2,2.0,0.0,2.856926441192627,0.6141326427459717,2.856926441192627,0.6141326427459717,28.44527777777778,5.133611111111111,196.36666666666665,134.25,1.0,1.0,1,1,27.259166666666662,3.2399999999999998,196.36666666666665,134.25,1.0,1.0,False
2018-09-05 19:00:00,8,5,2.0,3.0,2.872606039047241,0.7202565670013428,2.872606039047241,0.7202565670013428,27.505277777777778,5.159722222222222,241.13333333333333,192.5,1.0,1.0,2,3,26.806388888888886,5.075277777777777,241.13333333333333,192.5,1.0,1.0,False
2018-09-05 20:00:00,9,5,4.0,1.0,3.0381252765655518,2.4283957481384277,3.0381252765655518,2.4283957481384277,29.04611111111111,8.0,272.06666666666666,0.0,1.0,1.0,2,3,27.486944444444443,7.400833333333333,272.06666666666666,0.0,1.0,1.0,False
2018-09-05 21:00:00,10,4,3.0,1.0,2.853868246078491,2.2501792907714844,2.853868246078491,2.2501792907714844,31.0,11.0,0.0,0.0,1.0,1.0,2,2,29.145277777777775,9.472777777777777,0.0,0.0,1.0,1.0,False
2018-09-05 22:00:00,11,5,1.0,4.0,3.153878688812256,1.910692811012268,3.153878688812256,1.910692811012268,32.58166666666667,10.78138888888889,421.0833333333334,251.85,1.0,1.0,2,3,29.953055555555558,10.055000000000001,421.0833333333334,251.85,1.0,1.0,False
2018-09-05 23:00:00,12,3,2.0,1.0,3.2670164108276367,2.820009469985962,3.2670164108276367,2.820009469985962,31.189722222222223,10.53638888888889,458.8,204.83333333333334,1.0,1.0,1,2,28.895833333333332,8.231944444444446,458.8,204.83333333333334,1.0,1.0,False
2018-09-06 00:00:00,13,6,4.0,2.0,2.509725570678711,1.041426181793213,2.509725570678711,1.041426181793213,27.024444444444445,7.8947222222222235,515.1,164.65833333333336,1.0,1.0,3,3,26.746111111111112,7.310833333333335,515.1,164.65833333333336,1.0,1.0,False
2018-09-06 01:00:00,14,8,7.0,1.0,2.945349931716919,1.4974799156188965,2.945349931716919,1.4974799156188965,26.373333333333335,8.795833333333333,542.1916666666667,194.10000000000002,1.0,1.0,5,3,28.23638888888889,7.680277777777778,542.1916666666667,194.10000000000002,1.0,1.0,False
2018-09-06 02:00:00,15,7,7.0,0.0,2.7978453636169434,1.3277610540390015,2.7978453636169434,1.3277610540390015,31.0,9.627500000000001,0.0,187.7291666666667,1.0,1.0,7,0,31.22972222222222,7.627500000000001,0.0,187.7291666666667,1.0,1.0,False
2018-09-06 03:00:00,16,5,5.0,0.0,3.5022377967834473,0.027295459061861038,3.5022377967834473,0.027295459061861038,35.89277777777777,2.9705555555555576,664.1099999999999,97.47380952380955,1.0,0.9979999999999999,3,2,35.28805555555555,3.0133333333333345,664.1099999999999,97.84047619047621,1.0,1.0,False
2018-09-06 04:00:00,17,0,0.0,0.0,2.716362714767456,1.113637089729309,2.716362714767456,1.113637089729309,35.19666666666667,0.48694444444444496,719.7083333333334,4.86944444444445,1.0,0.8843888888888889,0,0,33.19666666666667,0.0,719.7083333333334,0.0,1.0,0.7835185185185186,False
2018-09-06 05:00:00,18,4,4.0,0.0,1.968296766281128,0.2206614762544632,1.968296766281128,0.2206614762544632,32.41638888888888,0.0,774.0999999999999,0.0,1.0,0.5554259259259263,2,2,33.14833333333333,0.0,774.0999999999999,0.0,1.0,0.5902592592592598,False
2018-09-06 06:00:00,19,1,1.0,0.0,1.5867514610290527,1.004638433456421,1.5867514610290527,1.004638433456421,32.39111111111111,0.0,806.5166666666667,0.0,1.0,0.5651296296296298,1,0,31.531111111111112,0.0,806.5166666666667,0.0,1.0,0.43179629629629646,False
2018-09-06 07:00:00,20,0,0.0,0.0,0.8141893148422241,0.19790507853031158,0.8141893148422241,0.19790507853031158,31.575555555555557,0.0,791.3555555555555,0.0,1.0,0.3154814814814813,0,0,30.575555555555557,0.0,791.3555555555555,0.0,1.0,0.3154814814814813,False
2018-09-06 08:00:00,21,0,0.0,0.0,0.7041321992874146,0.0,0.7041321992874146,0.0,29.179444444444446,0.0,767.9833333333333,0.0,1.0,0.26666666666666666,0,0,28.179444444444446,0.0,767.9833333333333,0.0,1.0,0.26666666666666666,False
2018-09-06 09:00:00,22,1,1.0,0.0,0.6219863295555115,0.0,0.6219863295555115,0.0,27.439166666666665,0.0,774.361111111111,0.0,1.0,0.26666666666666666,1,0,27.377777777777776,0.0,774.361111111111,0.0,1.0,0.26666666666666666,False
2018-09-06 10:00:00,23,0,0.0,0.0,0.6085792183876038,0.0856589525938034,0.6085792183876038,0.0856589525938034,25.226111111111113,0.0,718.0944444444444,0.0,1.0,0.26666666666666666,0,0,24.226111111111113,0.0,718.0944444444444,0.0,1.0,0.26666666666666666,False
2018-09-06 11:00:00,24,1,1.0,0.0,0.831671953201294,0.27485746145248413,0.831671953201294,0.27485746145248413,24.0,0.0,0.0,0.0,1.0,0.26666666666666666,1,0,23.114722222222223,0.0,0.0,0.0,1.0,0.26666666666666666,False
2018-09-06 12:00:00,25,2,0.0,2.0,0.6989439725875854,1.184322476387024,0.6989439725875854,1.184322476387024,20.51055555555556,0.0,699.625,0.0,1.0,0.3333333333333333,0,2,19.51055555555556,0.0,699.625,0.0,1.0,0.29940740740740746,False
2018-09-06 13:00:00,26,16,7.0,9.0,1.802574872970581,2.2385547161102295,1.802574872970581,2.2385547161102295,13.920833333333338,0.0,653.4777777777778,0.0,1.0,0.4862962962962961,4,12,14.230833333333335,0.1091666666666697,653.4777777777778,0.0,1.0,0.666907407407407,False
2018-09-06 14:00:00,27,14,5.0,9.0,3.499838352203369,11.013047218322754,3.499838352203369,11.013047218322754,12.228888888888905,11.72777777777778,432.26500000000016,55.10833333333346,1.0,1.0,4,10,10.397777777777792,6.4058333333333355,432.26500000000016,55.10833333333346,1.0,1.0,False
2018-09-06 15:00:00,28,28,20.0,8.0,5.398540019989014,9.687591552734375,5.398540019989014,9.687591552734375,7.754999999999999,18.56166666666667,77.39166666666661,71.97500000000014,1.0,1.0,17,11,12.567499999999999,12.8588888888889,77.39166666666661,71.97500000000014,1.0,1.0,False
2018-09-06 16:00:00,29,16,12.0,4.0,5.452610492706299,4.054086685180664,5.452610492706299,4.054086685180664,20.868333333333336,21.683888888888887,82.88333333333344,121.79999999999995,1.0,1.0,11,5,23.907222222222224,20.121111111111112,82.88333333333344,121.79999999999995,1.0,1.0,False
2018-09-06 17:00:00,30,2,2.0,0.0,4.2604169845581055,1.7153159379959106,4.2604169845581055,1.7153159379959106,28.189166666666665,25.0,117.51666666666665,0.0,1.0,1.0,1,1,26.145277777777775,22.133333333333333,117.51666666666665,0.0,1.0,1.0,False
2018-09-06 18:00:00,31,5,3.0,2.0,3.038693904876709,1.9971431493759155,3.038693904876709,1.9971431493759155,28.116388888888892,25.0,172.68333333333362,0.0,1.0,1.0,2,3,25.72333333333334,23.81861111111111,172.68333333333362,0.0,1.0,1.0,False
