site,queue_mae,queue_rmse,wait_mae,wait_rmse,util_mae,util_rmse
Caltech,0.3349,0.9884,0.1385,1.7701,0.0146,0.0425
JPL,0.5531,1.5917,0.1675,1.9969,0.0116,0.0359
